Date,ANET,AXP,IR,ODFL,PCAR,WIRE,WTS
2020-06-01,58.65999984741211,91.93218994140625,28.666736602783203,165.6876678466797,42.43661117553711,47.757080078125,80.07024383544922
2020-06-02,57.61249923706055,94.13665771484375,28.756439208984375,163.4468994140625,42.61652374267578,49.09280014038086,81.54997253417969
2020-06-03,57.817501068115234,100.15145111083984,30.690149307250977,164.35508728027344,43.312965393066406,49.820472717285156,84.09078979492188
2020-06-04,57.165000915527344,101.23469543457031,30.580509185791016,163.80227661132812,43.92815399169922,50.79734420776367,84.07133483886719
2020-06-05,58.79249954223633,104.2658462524414,33.132205963134766,167.44473266601562,45.23978805541992,52.66138458251953,88.71491241455078
2020-06-08,57.9474983215332,108.00962829589844,34.91638946533203,164.72030639648438,45.75050354003906,53.39902114868164,88.58837890625
2020-06-09,57.849998474121094,104.95948028564453,32.982688903808594,161.76881408691406,45.82016372680664,51.255882263183594,85.6776123046875
2020-06-10,58.192501068115234,100.87362670898438,32.6736946105957,163.1803741455078,44.572364807128906,50.617919921875,83.04915618896484
2020-06-11,54.70000076293945,93.69007873535156,30.65027618408203,155.2242431640625,42.12320327758789,46.202056884765625,77.58782958984375
2020-06-12,55.69499969482422,96.61669158935547,31.11875343322754,155.84613037109375,42.46561813354492,46.85995864868164,78.05511474609375
2020-06-15,56.462501525878906,98.7736587524414,30.919404983520508,160.0906982421875,42.784820556640625,47.61753463745117,78.60028076171875
2020-06-16,57.38999938964844,100.36050415039062,31.268272399902344,160.17955017089844,43.24332046508789,48.993125915527344,79.69058990478516
2020-06-17,56.6349983215332,98.78314971923828,29.45417022705078,161.25550842285156,43.121437072753906,47.32845687866211,78.9215316772461
2020-06-18,54.86249923706055,97.07279968261719,29.28472137451172,162.55848693847656,43.2201042175293,47.15899658203125,78.34715270996094
2020-06-19,54.502498626708984,95.91353607177734,28.716569900512695,166.0430450439453,43.504486083984375,46.540977478027344,78.77549743652344
2020-06-22,54.217498779296875,94.48824310302734,29.075403213500977,161.39370727539062,43.36519241333008,47.49791717529297,79.04808807373047
2020-06-23,53.904998779296875,94.46923065185547,28.886018753051758,162.84474182128906,43.39421463012695,47.358367919921875,79.89503479003906
2020-06-24,52.3125,90.7254409790039,27.41082000732422,161.2357635498047,42.08838653564453,46.12232208251953,76.0205078125
2020-06-25,52.994998931884766,92.97740936279297,27.480592727661133,160.91000366210938,42.512054443359375,46.451271057128906,77.23738861083984
2020-06-26,52.657501220703125,88.76802062988281,27.14169692993164,160.900146484375,42.04195022583008,45.57408142089844,76.18599700927734
2020-06-29,51.727500915527344,89.813232421875,28.018840789794922,162.54864501953125,42.76161193847656,48.414974212646484,78.59053802490234
2020-06-30,52.50749969482422,90.4593734741211,28.028806686401367,167.4052734375,43.440643310546875,48.6641845703125,78.85337829589844
2020-07-01,52.36000061035156,89.77213287353516,27.949066162109375,166.1910858154297,43.09241485595703,47.32790756225586,77.40288543701172
2020-07-02,52.627498626708984,90.03939056396484,28.367706298828125,168.6687469482422,43.92234802246094,47.457550048828125,78.44450378417969
2020-07-06,53.61249923706055,92.18705749511719,29.214948654174805,173.61422729492188,44.78129577636719,48.055870056152344,78.67814636230469
2020-07-07,52.69499969482422,88.7794189453125,28.008872985839844,173.36744689941406,43.974586486816406,46.82929229736328,76.877197265625
2020-07-08,53.525001525878906,88.67443084716797,28.028806686401367,174.59149169921875,43.7946662902832,47.238155364990234,76.75060272216797
2020-07-09,54.6974983215332,86.4504165649414,27.7696533203125,174.1472930908203,43.19689178466797,45.98167037963867,76.75060272216797
2020-07-10,54.02750015258789,88.98941802978516,28.218191146850586,174.6013641357422,43.666996002197266,46.99883270263672,77.71439361572266
2020-07-13,52.82500076293945,89.30440521240234,28.537155151367188,170.07046508789062,43.899139404296875,47.108516693115234,77.68518829345703
2020-07-14,53.932498931884766,90.52618408203125,29.63358497619629,175.4404296875,44.71745681762695,48.02595901489258,79.26226043701172
2020-07-15,53.78499984741211,92.93157196044922,30.859596252441406,177.0493927001953,45.68667984008789,49.20267105102539,82.40666198730469
2020-07-16,53.779998779296875,91.93887329101562,30.580509185791016,178.638671875,46.110347747802734,49.302391052246094,82.27037811279297
2020-07-17,54.89250183105469,90.8507308959961,30.55060577392578,184.02828979492188,46.098731994628906,49.56167221069336,82.10486602783203
2020-07-20,56.36000061035156,89.72440338134766,31.1984920501709,185.17333984375,46.24382781982422,48.444793701171875,81.54023742675781
2020-07-21,57.1974983215332,91.94841766357422,31.54736328125,185.0253448486328,48.55369567871094,50.17995071411133,82.71818542480469
2020-07-22,58.45750045776367,92.14885711669922,31.796550750732422,183.85061645507812,49.47648239135742,49.990482330322266,82.4261245727539
2020-07-23,59.82500076293945,92.27294158935547,31.527421951293945,181.74803161621094,49.94658279418945,50.289642333984375,83.36068725585938
2020-07-24,59.20249938964844,90.993896484375,31.497526168823242,179.8922882080078,49.7608642578125,49.8010139465332,82.11458587646484
2020-07-27,61.45750045776367,91.43297576904297,31.71681022644043,182.9029998779297,49.865333557128906,50.25972366333008,83.04915618896484
2020-07-28,60.209999084472656,90.12529754638672,31.24833106994629,180.05023193359375,49.59255599975586,49.09297561645508,81.99778747558594
2020-07-29,61.72999954223633,92.29205322265625,32.05570983886719,179.9712677001953,49.90596389770508,50.88796615600586,83.68193817138672
2020-07-30,62.34749984741211,90.34483337402344,31.70684051513672,177.88844299316406,49.10504150390625,49.392147064208984,81.51102447509766
2020-07-31,64.94249725341797,89.0753173828125,31.4875545501709,180.46484375,49.3778190612793,50.05030822753906,81.66679382324219
